"doi_no","doi","record_index","start_line","end_line"
1,"10.1016/j.fcr.2025.110217","14; 17","680; 824","719; 870"
175,"10.1086/738433","46; 76357","2338; 4038233","2399; 4038294"
2,"10.1080/00103624.2025.2557388","129; 2639","6690; 139992","6734; 140037"
470,"10.1086/738638","188; 76677","9723; 4054954","9776; 4055007"
633,"10.1007/s11368-025-04184-7","270; 76865","14033; 4064761","14085; 4064813"
178,"10.1002/ldr.70311","271; 76360","14086; 4038385","14127; 4038426"
600,"10.1007/s11104-025-08108-9","272; 76823","14128; 4062557","14164; 4062593"
442,"10.1007/s11104-025-08113-y","273; 76648","14165; 4053435","14208; 4053478"
292,"10.1007/s12374-025-09496-2","275; 76489","14263; 4044956","14310; 4045003"
313,"10.1111/nph.70720","276; 76511","14311; 4046119","14355; 4046163"
231,"10.1007/s11104-025-08030-0","278; 76423","14406; 4041634","14457; 4041685"
239,"10.1007/s11104-025-08054-6","279; 76431","14458; 4042014","14514; 4042070"
615,"10.1002/tax.70082","280; 76840","14515; 4063461","14557; 4063503"
628,"10.1128/msystems.01269-25","283; 76860","14671; 4064488","14728; 4064545"
670,"10.1093/nar/gkaf1083","284; 76909","14729; 4067021","14772; 4067064"
103,"10.1111/1365-2435.70221","285; 76278","14773; 4033918","14829; 4033974"
684,"10.1111/1365-2745.70188","286; 76925","14830; 4067874","14871; 4067915"
142,"10.1007/s42729-025-02800-6","287; 76323","14872; 4036436","14921; 4036485"
457,"10.1111/een.70043","288; 76664","14922; 4054254","14970; 4054302"
198,"10.1128/spectrum.03016-24","290; 76385","15027; 4039701","15072; 4039746"
573,"10.1002/ps.70374","293; 76793","15195; 4060993","15236; 4061034"
433,"10.1007/s00344-025-11954-7","294; 76638","15237; 4052838","15283; 4052884"
240,"10.1007/s11104-025-08016-y","295; 76432","15284; 4042071","15332; 4042119"
662,"10.2989/10220119.2025.2527194","298; 76899","15456; 4066492","15498; 4066534"
293,"10.1093/etojnl/vgaf252","300; 76490","15554; 4045004","15608; 4045058"
593,"10.1007/s13199-025-01095-6","301; 76815","15609; 4062116","15658; 4062165"
140,"10.1002/oik.11718","312; 76321","16164; 4036345","16207; 4036388"
106,"10.1111/afe.70021","313; 76281","16208; 4034069","16261; 4034122"
148,"10.1007/s42729-025-02814-0","315; 76329","16323; 4036732","16366; 4036775"
562,"10.1128/spectrum.01155-25","316; 76781","16367; 4060375","16410; 4060418"
349,"10.1002/oik.11341","317; 76549","16411; 4048096","16461; 4048146"
460,"10.1002/oik.11578","318; 76667","16462; 4054429","16519; 4054486"
540,"10.1007/s11104-025-08075-1","319; 76754","16520; 4058870","16575; 4058925"
393,"10.1007/s11104-025-07966-7","320; 76596","16576; 4050624","16623; 4050671"
518,"10.1111/rec.70256","321; 76730","16624; 4057700","16687; 4057763"
653,"10.1080/07060661.2025.2576747","322; 76888","16688; 4065933","16738; 4065983"
323,"10.1007/s11104-025-08081-3","323; 76521","16739; 4046623","16793; 4046677"
302,"10.1007/s11104-025-08053-7","324; 76500","16794; 4045551","16836; 4045593"
551,"10.1093/ee/nvaf115","326; 76768","16898; 4059630","16945; 4059677"
646,"10.1007/s42161-025-02028-4","328; 76880","17007; 4065509","17074; 4065576"
588,"10.15244/pjoes/208256","330; 76810","17132; 4061850","17171; 4061889"
246,"10.1007/s11368-025-04168-7","332; 76438","17227; 4042384","17288; 4042445"
530,"10.1007/s11756-025-02050-y","333; 76744","17289; 4058389","17334; 4058434"
415,"10.1007/s42729-025-02824-y","337; 76620","17519; 4051904","17572; 4051957"
113,"10.1128/aem.01399-25","340; 76288","17658; 4034446","17711; 4034499"
318,"10.1111/1365-2435.70157","341; 76516","17712; 4046350","17774; 4046412"
356,"10.1007/s00344-025-11953-8","344; 76557","17859; 4048543","17895; 4048579"
163,"10.1007/s12649-025-03377-y","345; 76344","17896; 4037497","17947; 4037548"
272,"10.1007/s42729-025-02807-z","353; 76469","18291; 4043968","18342; 4044019"
472,"10.1007/s42729-025-02790-5","356; 76680","18441; 4055107","18493; 4055159"
376,"10.1002/ps.70357","357; 76578","18494; 4049677","18537; 4049720"
674,"10.1128/aem.01251-25","358; 76913","18538; 4067199","18574; 4067235"
248,"10.1007/s11368-025-04182-9","359; 76440","18575; 4042550","18629; 4042604"
179,"10.1038/s41477-025-02147-x","360; 76361","18630; 4038427","18708; 4038505"
680,"10.1111/ppa.70092","362; 76919","18767; 4067502","18815; 4067550"
444,"10.1128/msystems.00285-25","374; 76650","19449; 4053529","19499; 4053579"
644,"10.1111/rec.70246","375; 76878","19500; 4065401","19551; 4065452"
208,"10.1080/19315260.2025.2577824","376; 76397","19552; 4040302","19602; 4040352"
342,"10.1007/s11104-025-08019-9","377; 76542","19603; 4047693","19648; 4047738"
590,"10.1007/s11104-025-07904-7","378; 76812","19649; 4061941","19699; 4061991"
368,"10.1007/s11104-025-08066-2","385; 76570","20009; 4049250","20061; 4049302"
603,"10.1007/s11104-025-08043-9","389; 76826","20218; 4062708","20267; 4062757"
679,"10.1002/aps3.70029","390; 76918","20268; 4067455","20314; 4067501"
247,"10.1111/1365-2745.70189","391; 76439","20315; 4042446","20418; 4042549"
686,"10.1094/MPMI-03-25-0032-R","393; 76927","20477; 4067968","20600; 4068091"
607,"10.1094/MPMI-05-25-0064-R","394; 76831","20601; 4062969","20650; 4063018"
554,"10.1111/een.70040","403; 76771","21065; 4059790","21114; 4059839"
102,"10.1002/oik.11751","408; 76277","21355; 4033821","21450; 4033917"
176,"10.1007/s00374-025-01961-x","411; 76358","21541; 4038295","21588; 4038342"
642,"10.1111/1365-2664.70187","413; 76876","21655; 4065309","21710; 4065364"
110,"10.1007/s11104-025-07927-0","416; 76285","21817; 4034277","21881; 4034341"
477,"10.1007/s00049-025-00429-6","429; 76686","22501; 4055412","22557; 4055468"
151,"10.1007/s11104-025-07962-x","430; 76332","22558; 4036867","22618; 4036927"
133,"10.1111/1365-2745.70187","439; 76311","23011; 4035721","23064; 4035774"
138,"10.1128/spectrum.00295-25","440; 76318","23065; 4036184","23125; 4036244"
367,"10.1007/s12010-025-05445-4","442; 76569","23169; 4049199","23219; 4049249"
168,"10.1007/s10811-025-03686-8","443; 76349","23220; 4037797","23283; 4037860"
12,"10.1007/s00040-025-01026-0","456; 46751; 76453","23940; 2548383; 4043206","23983; 2548422; 4043245"
495,"10.1080/10826068.2025.2577388","478; 76704","25153; 4056383","25191; 4056421"
525,"10.1007/s11104-025-08035-9","480; 76739","25246; 4058157","25297; 4058208"
192,"10.1007/s11104-025-08062-6","481; 76377","25298; 4039288","25353; 4039343"
391,"10.1007/s11104-025-08039-5","598; 76594","31422; 4050520","31473; 4050571"
298,"10.1007/s00374-025-01959-5","601; 76495","31571; 4045266","31625; 4045320"
608,"10.1094/PHYTOFR-03-25-0022-R","609; 76832","31984; 4063019","32032; 4063067"
250,"10.1111/1365-2745.70186","612; 76442","32148; 4042653","32203; 4042708"
195,"10.1002/ldr.70275","613; 76380","32204; 4039461","32251; 4039508"
322,"10.1007/s11368-025-04165-w","615; 76520","32301; 4046578","32345; 4046622"
664,"10.1111/pce.70250","616; 76901","32346; 4066598","32400; 4066652"
111,"10.1111/1755-0998.70064","617; 76286","32401; 4034342","32454; 4034395"
265,"10.1007/s11104-025-08025-x","618; 76461","32455; 4043572","32507; 4043624"
228,"10.1093/aesa/saaf037","629; 76420","33026; 4041471","33074; 4041519"
585,"10.1094/PBIOMES-01-25-0004-R","630; 76807","33075; 4061692","33134; 4061751"
672,"10.1007/s10750-025-06037-3","632; 76911","33187; 4067096","33234; 4067143"
546,"10.1007/s11104-025-08027-9","633; 76762","33235; 4059300","33289; 4059354"
441,"10.1111/1365-2664.70198","644; 76646","33774; 4053250","33825; 4053301"
249,"10.1002/ldr.70262","645; 76441","33826; 4042605","33873; 4042652"
392,"10.1111/1365-2664.70202","661; 76595","34634; 4050572","34685; 4050623"
220,"10.1002/ldr.70269","662; 76411","34686; 4041023","34729; 4041066"
563,"10.1002/jobm.70119","664; 76783","34780; 4060459","34819; 4060498"
675,"10.1021/acs.jnatprod.5c00970","665; 76914","34820; 4067236","34875; 4067291"
381,"10.1093/etojnl/vgaf244","671; 76584","35125; 4049969","35182; 4050026"
469,"10.1111/1365-2435.70203","672; 76676","35183; 4054910","35226; 4054953"
617,"10.1007/s11104-025-07975-6","690; 76842","36121; 4063552","36181; 4063612"
406,"10.1111/1755-0998.70067","692; 76610","36239; 4051359","36284; 4051404"
259,"10.1007/s42729-025-02785-2","693; 76454","36285; 4043246","36330; 4043291"
594,"10.1111/plb.70120","704; 76816","36864; 4062166","36914; 4062216"
420,"10.1007/s42729-025-02721-4","705; 76625","36915; 4052166","36962; 4052213"
134,"10.1007/s11104-025-08020-2","708; 76312","37069; 4035775","37121; 4035827"
377,"10.1007/s11104-025-07926-1","711; 76579","37222; 4049721","37284; 4049783"
503,"10.1007/s00374-025-01953-x","722; 76713","37812; 4056830","37862; 4056880"
678,"10.1080/01490451.2025.2573817","723; 76917","37863; 4067404","37913; 4067454"
132,"10.1111/icad.70028","727; 76310","38085; 4035676","38129; 4035720"
601,"10.1007/s11104-025-07985-4","760; 76824","39714; 4062594","39774; 4062654"
285,"10.1007/s00374-025-01955-9","761; 76482","39775; 4044605","39830; 4044660"
143,"10.1111/nph.70682","762; 76324","39831; 4036486","39880; 4036535"
538,"10.1007/s12649-025-03352-7","763; 76752","39881; 4058786","39925; 4058830"
532,"10.1080/10549811.2025.2574018","775; 76746","40461; 4058485","40506; 4058530"
345,"10.1002/oik.11758","776; 76545","40507; 4047860","40575; 4047928"
222,"10.1007/s11104-025-07865-x","777; 76414","40576; 4041179","40630; 4041233"
380,"10.1007/s42729-025-02780-7","778; 76583","40631; 4049920","40679; 4049968"
534,"10.1002/ldr.70258","781; 76748","40785; 4058583","40841; 4058639"
226,"10.1007/s44392-025-00054-9","790; 76418","41283; 4041381","41323; 4041421"
440,"10.1080/10549811.2025.2574013","791; 76645","41324; 4053201","41372; 4053249"
167,"10.1007/s11104-025-07920-7","792; 76348","41373; 4037751","41418; 4037796"
370,"10.1007/s00374-025-01940-2","793; 76572","41419; 4049363","41481; 4049425"
124,"10.1080/15226514.2025.2572305","806; 76301","42119; 4035186","42162; 4035229"
640,"10.17221/116)/2025-PPS","807; 76873","42163; 4065167","42208; 4065212"
490,"10.1007/s11104-025-07924-3","809; 76699","42272; 4056125","42327; 4056180"
264,"10.1111/1365-2656.70161","823; 76460","43004; 4043536","43039; 4043571"
360,"10.1111/pce.70243","827; 76561","43179; 4048725","43235; 4048781"
474,"10.1007/s10123-025-00730-y","829; 76682","43286; 4055218","43334; 4055266"
